5.656854,   [Node {x = 1, y = 2} -> Node {x = 2, y = 3} -> Node {x = 3, y = 4} -> Node {x = 4, y = 5} -> Node {x = 5, y = 6}]
8.485281,   [Node {x = 5, y = 6} -> Node {x = 4, y = 5} -> Node {x = 1, y = 2} -> Node {x = 2, y = 3} -> Node {x = 3, y = 4}]
8.485281,   [Node {x = 5, y = 6} -> Node {x = 4, y = 5} -> Node {x = 2, y = 3} -> Node {x = 1, y = 2} -> Node {x = 3, y = 4}]
8.485281,   [Node {x = 5, y = 6} -> Node {x = 4, y = 5} -> Node {x = 2, y = 3} -> Node {x = 3, y = 4} -> Node {x = 1, y = 2}]
9.899494,   [Node {x = 1, y = 2} -> Node {x = 2, y = 3} -> Node {x = 5, y = 6} -> Node {x = 3, y = 4} -> Node {x = 4, y = 5}]
9.899494,   [Node {x = 1, y = 2} -> Node {x = 3, y = 4} -> Node {x = 2, y = 3} -> Node {x = 5, y = 6} -> Node {x = 4, y = 5}]
9.899494,   [Node {x = 1, y = 2} -> Node {x = 3, y = 4} -> Node {x = 4, y = 5} -> Node {x = 5, y = 6} -> Node {x = 2, y = 3}]
9.899494,   [Node {x = 1, y = 2} -> Node {x = 4, y = 5} -> Node {x = 5, y = 6} -> Node {x = 3, y = 4} -> Node {x = 2, y = 3}]
9.899494,   [Node {x = 1, y = 2} -> Node {x = 5, y = 6} -> Node {x = 4, y = 5} -> Node {x = 3, y = 4} -> Node {x = 2, y = 3}]
9.899494,   [Node {x = 2, y = 3} -> Node {x = 1, y = 2} -> Node {x = 5, y = 6} -> Node {x = 4, y = 5} -> Node {x = 3, y = 4}]
9.899494,   [Node {x = 2, y = 3} -> Node {x = 3, y = 4} -> Node {x = 1, y = 2} -> Node {x = 4, y = 5} -> Node {x = 5, y = 6}]
9.899494,   [Node {x = 2, y = 3} -> Node {x = 3, y = 4} -> Node {x = 4, y = 5} -> Node {x = 5, y = 6} -> Node {x = 1, y = 2}]
9.899494,   [Node {x = 2, y = 3} -> Node {x = 3, y = 4} -> Node {x = 5, y = 6} -> Node {x = 4, y = 5} -> Node {x = 1, y = 2}]
9.899494,   [Node {x = 3, y = 4} -> Node {x = 1, y = 2} -> Node {x = 2, y = 3} -> Node {x = 5, y = 6} -> Node {x = 4, y = 5}]
9.899494,   [Node {x = 3, y = 4} -> Node {x = 2, y = 3} -> Node {x = 1, y = 2} -> Node {x = 5, y = 6} -> Node {x = 4, y = 5}]
9.899494,   [Node {x = 3, y = 4} -> Node {x = 4, y = 5} -> Node {x = 5, y = 6} -> Node {x = 1, y = 2} -> Node {x = 2, y = 3}]
9.899494,   [Node {x = 3, y = 4} -> Node {x = 5, y = 6} -> Node {x = 4, y = 5} -> Node {x = 1, y = 2} -> Node {x = 2, y = 3}]
9.899494,   [Node {x = 4, y = 5} -> Node {x = 3, y = 4} -> Node {x = 1, y = 2} -> Node {x = 2, y = 3} -> Node {x = 5, y = 6}]
9.899494,   [Node {x = 4, y = 5} -> Node {x = 3, y = 4} -> Node {x = 2, y = 3} -> Node {x = 1, y = 2} -> Node {x = 5, y = 6}]
9.899494,   [Node {x = 4, y = 5} -> Node {x = 3, y = 4} -> Node {x = 5, y = 6} -> Node {x = 2, y = 3} -> Node {x = 1, y = 2}]
9.899494,   [Node {x = 4, y = 5} -> Node {x = 5, y = 6} -> Node {x = 1, y = 2} -> Node {x = 2, y = 3} -> Node {x = 3, y = 4}]
9.899494,   [Node {x = 5, y = 6} -> Node {x = 1, y = 2} -> Node {x = 2, y = 3} -> Node {x = 3, y = 4} -> Node {x = 4, y = 5}]
9.899494,   [Node {x = 5, y = 6} -> Node {x = 2, y = 3} -> Node {x = 1, y = 2} -> Node {x = 3, y = 4} -> Node {x = 4, y = 5}]
9.899494,   [Node {x = 5, y = 6} -> Node {x = 3, y = 4} -> Node {x = 2, y = 3} -> Node {x = 1, y = 2} -> Node {x = 4, y = 5}]
9.899494,   [Node {x = 5, y = 6} -> Node {x = 3, y = 4} -> Node {x = 4, y = 5} -> Node {x = 1, y = 2} -> Node {x = 2, y = 3}]
9.899494,   [Node {x = 5, y = 6} -> Node {x = 4, y = 5} -> Node {x = 1, y = 2} -> Node {x = 3, y = 4} -> Node {x = 2, y = 3}]
9.899495,   [Node {x = 1, y = 2} -> Node {x = 3, y = 4} -> Node {x = 5, y = 6} -> Node {x = 4, y = 5} -> Node {x = 2, y = 3}]
9.899495,   [Node {x = 2, y = 3} -> Node {x = 1, y = 2} -> Node {x = 4, y = 5} -> Node {x = 3, y = 4} -> Node {x = 5, y = 6}]
9.899495,   [Node {x = 2, y = 3} -> Node {x = 1, y = 2} -> Node {x = 4, y = 5} -> Node {x = 5, y = 6} -> Node {x = 3, y = 4}]
9.899495,   [Node {x = 2, y = 3} -> Node {x = 4, y = 5} -> Node {x = 5, y = 6} -> Node {x = 3, y = 4} -> Node {x = 1, y = 2}]
9.899495,   [Node {x = 2, y = 3} -> Node {x = 5, y = 6} -> Node {x = 4, y = 5} -> Node {x = 3, y = 4} -> Node {x = 1, y = 2}]
9.899495,   [Node {x = 4, y = 5} -> Node {x = 1, y = 2} -> Node {x = 2, y = 3} -> Node {x = 3, y = 4} -> Node {x = 5, y = 6}]
9.899495,   [Node {x = 4, y = 5} -> Node {x = 2, y = 3} -> Node {x = 1, y = 2} -> Node {x = 3, y = 4} -> Node {x = 5, y = 6}]
9.899495,   [Node {x = 4, y = 5} -> Node {x = 5, y = 6} -> Node {x = 2, y = 3} -> Node {x = 1, y = 2} -> Node {x = 3, y = 4}]
9.899495,   [Node {x = 4, y = 5} -> Node {x = 5, y = 6} -> Node {x = 2, y = 3} -> Node {x = 3, y = 4} -> Node {x = 1, y = 2}]
9.899495,   [Node {x = 5, y = 6} -> Node {x = 3, y = 4} -> Node {x = 1, y = 2} -> Node {x = 2, y = 3} -> Node {x = 4, y = 5}]
11.313707,  [Node {x = 1, y = 2} -> Node {x = 4, y = 5} -> Node {x = 5, y = 6} -> Node {x = 2, y = 3} -> Node {x = 3, y = 4}]
11.313707,  [Node {x = 2, y = 3} -> Node {x = 3, y = 4} -> Node {x = 1, y = 2} -> Node {x = 5, y = 6} -> Node {x = 4, y = 5}]
11.313707,  [Node {x = 4, y = 5} -> Node {x = 3, y = 4} -> Node {x = 5, y = 6} -> Node {x = 1, y = 2} -> Node {x = 2, y = 3}]
11.313707,  [Node {x = 5, y = 6} -> Node {x = 2, y = 3} -> Node {x = 1, y = 2} -> Node {x = 4, y = 5} -> Node {x = 3, y = 4}]
11.313708,  [Node {x = 1, y = 2} -> Node {x = 3, y = 4} -> Node {x = 4, y = 5} -> Node {x = 2, y = 3} -> Node {x = 5, y = 6}]
11.313708,  [Node {x = 1, y = 2} -> Node {x = 4, y = 5} -> Node {x = 2, y = 3} -> Node {x = 3, y = 4} -> Node {x = 5, y = 6}]
11.313708,  [Node {x = 1, y = 2} -> Node {x = 4, y = 5} -> Node {x = 3, y = 4} -> Node {x = 2, y = 3} -> Node {x = 5, y = 6}]
11.313708,  [Node {x = 1, y = 2} -> Node {x = 5, y = 6} -> Node {x = 4, y = 5} -> Node {x = 2, y = 3} -> Node {x = 3, y = 4}]
11.313708,  [Node {x = 2, y = 3} -> Node {x = 1, y = 2} -> Node {x = 5, y = 6} -> Node {x = 3, y = 4} -> Node {x = 4, y = 5}]
11.313708,  [Node {x = 3, y = 4} -> Node {x = 2, y = 3} -> Node {x = 4, y = 5} -> Node {x = 5, y = 6} -> Node {x = 1, y = 2}]
11.313708,  [Node {x = 3, y = 4} -> Node {x = 2, y = 3} -> Node {x = 5, y = 6} -> Node {x = 4, y = 5} -> Node {x = 1, y = 2}]
11.313708,  [Node {x = 3, y = 4} -> Node {x = 4, y = 5} -> Node {x = 1, y = 2} -> Node {x = 2, y = 3} -> Node {x = 5, y = 6}]
11.313708,  [Node {x = 3, y = 4} -> Node {x = 4, y = 5} -> Node {x = 2, y = 3} -> Node {x = 1, y = 2} -> Node {x = 5, y = 6}]
11.313708,  [Node {x = 4, y = 5} -> Node {x = 5, y = 6} -> Node {x = 1, y = 2} -> Node {x = 3, y = 4} -> Node {x = 2, y = 3}]
11.313708,  [Node {x = 5, y = 6} -> Node {x = 1, y = 2} -> Node {x = 2, y = 3} -> Node {x = 4, y = 5} -> Node {x = 3, y = 4}]
11.313708,  [Node {x = 5, y = 6} -> Node {x = 2, y = 3} -> Node {x = 3, y = 4} -> Node {x = 4, y = 5} -> Node {x = 1, y = 2}]
11.313708,  [Node {x = 5, y = 6} -> Node {x = 2, y = 3} -> Node {x = 4, y = 5} -> Node {x = 3, y = 4} -> Node {x = 1, y = 2}]
11.313708,  [Node {x = 5, y = 6} -> Node {x = 3, y = 4} -> Node {x = 2, y = 3} -> Node {x = 4, y = 5} -> Node {x = 1, y = 2}]
12.727921,  [Node {x = 1, y = 2} -> Node {x = 5, y = 6} -> Node {x = 2, y = 3} -> Node {x = 3, y = 4} -> Node {x = 4, y = 5}]
12.727921,  [Node {x = 5, y = 6} -> Node {x = 1, y = 2} -> Node {x = 4, y = 5} -> Node {x = 3, y = 4} -> Node {x = 2, y = 3}]
12.7279215, [Node {x = 1, y = 2} -> Node {x = 3, y = 4} -> Node {x = 5, y = 6} -> Node {x = 2, y = 3} -> Node {x = 4, y = 5}]
12.7279215, [Node {x = 1, y = 2} -> Node {x = 4, y = 5} -> Node {x = 3, y = 4} -> Node {x = 5, y = 6} -> Node {x = 2, y = 3}]
12.7279215, [Node {x = 1, y = 2} -> Node {x = 5, y = 6} -> Node {x = 3, y = 4} -> Node {x = 2, y = 3} -> Node {x = 4, y = 5}]
12.7279215, [Node {x = 1, y = 2} -> Node {x = 5, y = 6} -> Node {x = 3, y = 4} -> Node {x = 4, y = 5} -> Node {x = 2, y = 3}]
12.7279215, [Node {x = 2, y = 3} -> Node {x = 4, y = 5} -> Node {x = 5, y = 6} -> Node {x = 1, y = 2} -> Node {x = 3, y = 4}]
12.7279215, [Node {x = 2, y = 3} -> Node {x = 5, y = 6} -> Node {x = 3, y = 4} -> Node {x = 4, y = 5} -> Node {x = 1, y = 2}]
12.7279215, [Node {x = 2, y = 3} -> Node {x = 5, y = 6} -> Node {x = 4, y = 5} -> Node {x = 1, y = 2} -> Node {x = 3, y = 4}]
12.7279215, [Node {x = 3, y = 4} -> Node {x = 1, y = 2} -> Node {x = 4, y = 5} -> Node {x = 5, y = 6} -> Node {x = 2, y = 3}]
12.7279215, [Node {x = 3, y = 4} -> Node {x = 1, y = 2} -> Node {x = 5, y = 6} -> Node {x = 4, y = 5} -> Node {x = 2, y = 3}]
12.7279215, [Node {x = 3, y = 4} -> Node {x = 5, y = 6} -> Node {x = 1, y = 2} -> Node {x = 2, y = 3} -> Node {x = 4, y = 5}]
12.7279215, [Node {x = 3, y = 4} -> Node {x = 5, y = 6} -> Node {x = 2, y = 3} -> Node {x = 1, y = 2} -> Node {x = 4, y = 5}]
12.7279215, [Node {x = 4, y = 5} -> Node {x = 1, y = 2} -> Node {x = 2, y = 3} -> Node {x = 5, y = 6} -> Node {x = 3, y = 4}]
12.7279215, [Node {x = 4, y = 5} -> Node {x = 1, y = 2} -> Node {x = 3, y = 4} -> Node {x = 2, y = 3} -> Node {x = 5, y = 6}]
12.7279215, [Node {x = 4, y = 5} -> Node {x = 2, y = 3} -> Node {x = 1, y = 2} -> Node {x = 5, y = 6} -> Node {x = 3, y = 4}]
12.7279215, [Node {x = 5, y = 6} -> Node {x = 1, y = 2} -> Node {x = 3, y = 4} -> Node {x = 2, y = 3} -> Node {x = 4, y = 5}]
12.7279215, [Node {x = 5, y = 6} -> Node {x = 1, y = 2} -> Node {x = 3, y = 4} -> Node {x = 4, y = 5} -> Node {x = 2, y = 3}]
12.7279215, [Node {x = 5, y = 6} -> Node {x = 2, y = 3} -> Node {x = 3, y = 4} -> Node {x = 1, y = 2} -> Node {x = 4, y = 5}]
12.7279215, [Node {x = 5, y = 6} -> Node {x = 3, y = 4} -> Node {x = 1, y = 2} -> Node {x = 4, y = 5} -> Node {x = 2, y = 3}]
12.727922,  [Node {x = 2, y = 3} -> Node {x = 3, y = 4} -> Node {x = 4, y = 5} -> Node {x = 1, y = 2} -> Node {x = 5, y = 6}]
12.727922,  [Node {x = 2, y = 3} -> Node {x = 4, y = 5} -> Node {x = 1, y = 2} -> Node {x = 3, y = 4} -> Node {x = 5, y = 6}]
12.727922,  [Node {x = 2, y = 3} -> Node {x = 4, y = 5} -> Node {x = 3, y = 4} -> Node {x = 1, y = 2} -> Node {x = 5, y = 6}]
12.727922,  [Node {x = 2, y = 3} -> Node {x = 4, y = 5} -> Node {x = 3, y = 4} -> Node {x = 5, y = 6} -> Node {x = 1, y = 2}]
12.727922,  [Node {x = 4, y = 5} -> Node {x = 2, y = 3} -> Node {x = 3, y = 4} -> Node {x = 1, y = 2} -> Node {x = 5, y = 6}]
12.727922,  [Node {x = 4, y = 5} -> Node {x = 2, y = 3} -> Node {x = 3, y = 4} -> Node {x = 5, y = 6} -> Node {x = 1, y = 2}]
12.727922,  [Node {x = 4, y = 5} -> Node {x = 2, y = 3} -> Node {x = 5, y = 6} -> Node {x = 3, y = 4} -> Node {x = 1, y = 2}]
12.727922,  [Node {x = 4, y = 5} -> Node {x = 3, y = 4} -> Node {x = 2, y = 3} -> Node {x = 5, y = 6} -> Node {x = 1, y = 2}]
14.142135,  [Node {x = 1, y = 2} -> Node {x = 5, y = 6} -> Node {x = 2, y = 3} -> Node {x = 4, y = 5} -> Node {x = 3, y = 4}]
14.142135,  [Node {x = 2, y = 3} -> Node {x = 3, y = 4} -> Node {x = 5, y = 6} -> Node {x = 1, y = 2} -> Node {x = 4, y = 5}]
14.142135,  [Node {x = 2, y = 3} -> Node {x = 5, y = 6} -> Node {x = 1, y = 2} -> Node {x = 3, y = 4} -> Node {x = 4, y = 5}]
14.142135,  [Node {x = 4, y = 5} -> Node {x = 1, y = 2} -> Node {x = 5, y = 6} -> Node {x = 3, y = 4} -> Node {x = 2, y = 3}]
14.142135,  [Node {x = 4, y = 5} -> Node {x = 3, y = 4} -> Node {x = 1, y = 2} -> Node {x = 5, y = 6} -> Node {x = 2, y = 3}]
14.142135,  [Node {x = 5, y = 6} -> Node {x = 1, y = 2} -> Node {x = 4, y = 5} -> Node {x = 2, y = 3} -> Node {x = 3, y = 4}]
14.142136,  [Node {x = 1, y = 2} -> Node {x = 4, y = 5} -> Node {x = 2, y = 3} -> Node {x = 5, y = 6} -> Node {x = 3, y = 4}]
14.142136,  [Node {x = 2, y = 3} -> Node {x = 5, y = 6} -> Node {x = 3, y = 4} -> Node {x = 1, y = 2} -> Node {x = 4, y = 5}]
14.142136,  [Node {x = 3, y = 4} -> Node {x = 1, y = 2} -> Node {x = 4, y = 5} -> Node {x = 2, y = 3} -> Node {x = 5, y = 6}]
14.142136,  [Node {x = 3, y = 4} -> Node {x = 2, y = 3} -> Node {x = 4, y = 5} -> Node {x = 1, y = 2} -> Node {x = 5, y = 6}]
14.142136,  [Node {x = 3, y = 4} -> Node {x = 4, y = 5} -> Node {x = 2, y = 3} -> Node {x = 5, y = 6} -> Node {x = 1, y = 2}]
14.142136,  [Node {x = 3, y = 4} -> Node {x = 5, y = 6} -> Node {x = 2, y = 3} -> Node {x = 4, y = 5} -> Node {x = 1, y = 2}]
14.142136,  [Node {x = 4, y = 5} -> Node {x = 1, y = 2} -> Node {x = 3, y = 4} -> Node {x = 5, y = 6} -> Node {x = 2, y = 3}]
14.142136,  [Node {x = 5, y = 6} -> Node {x = 2, y = 3} -> Node {x = 4, y = 5} -> Node {x = 1, y = 2} -> Node {x = 3, y = 4}]
15.556348,  [Node {x = 2, y = 3} -> Node {x = 5, y = 6} -> Node {x = 1, y = 2} -> Node {x = 4, y = 5} -> Node {x = 3, y = 4}]
15.556348,  [Node {x = 4, y = 5} -> Node {x = 1, y = 2} -> Node {x = 5, y = 6} -> Node {x = 2, y = 3} -> Node {x = 3, y = 4}]
15.556349,  [Node {x = 3, y = 4} -> Node {x = 1, y = 2} -> Node {x = 5, y = 6} -> Node {x = 2, y = 3} -> Node {x = 4, y = 5}]
15.556349,  [Node {x = 3, y = 4} -> Node {x = 2, y = 3} -> Node {x = 5, y = 6} -> Node {x = 1, y = 2} -> Node {x = 4, y = 5}]
15.556349,  [Node {x = 3, y = 4} -> Node {x = 4, y = 5} -> Node {x = 1, y = 2} -> Node {x = 5, y = 6} -> Node {x = 2, y = 3}]
15.556349,  [Node {x = 3, y = 4} -> Node {x = 5, y = 6} -> Node {x = 1, y = 2} -> Node {x = 4, y = 5} -> Node {x = 2, y = 3}]
15.55635,   [Node {x = 2, y = 3} -> Node {x = 4, y = 5} -> Node {x = 1, y = 2} -> Node {x = 5, y = 6} -> Node {x = 3, y = 4}]
15.55635,   [Node {x = 4, y = 5} -> Node {x = 2, y = 3} -> Node {x = 5, y = 6} -> Node {x = 1, y = 2} -> Node {x = 3, y = 4}]
